"","crashYear","crashSever","regname","regid","taname","taid","crashcnt"
"123",2018,"Minor Crash","Wellington Region","09","Lower Hutt City","046",161
"124",2018,"Minor Crash","Wellington Region","09","Masterton District","048",36
"125",2018,"Minor Crash","Wellington Region","09","Porirua City","044",71
"126",2018,"Minor Crash","Wellington Region","09","South Wairarapa District","050",14
"127",2018,"Minor Crash","Wellington Region","09","Upper Hutt City","045",37
"128",2018,"Minor Crash","Wellington Region","09","Wellington City","047",254
"129",2018,"Minor Crash","West Coast Region","12","Buller District","055",26
"130",2018,"Minor Crash","West Coast Region","12","Grey District","056",25
"131",2018,"Minor Crash","West Coast Region","12","Westland District","057",15
"132",2018,"Non-Injury Crash","Area Outside Region","99","Chatham Islands Territory","067",5
"133",2018,"Non-Injury Crash","Auckland Region","02","Auckland","076",5949
"134",2018,"Non-Injury Crash","Bay of Plenty Region","04","Kawerau District","026",14
"135",2018,"Non-Injury Crash","Bay of Plenty Region","04","Rotorua District","024",277
"136",2018,"Non-Injury Crash","Bay of Plenty Region","04","Tauranga City","023",516
"137",2018,"Non-Injury Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",169
"138",2018,"Non-Injury Crash","Bay of Plenty Region","04","Whakatane District","025",125
"139",2018,"Non-Injury Crash","Bay of Plenty Region","04","Ōpōtiki District","027",46
"140",2018,"Non-Injury Crash","Canterbury Region","13","Ashburton District","063",96
"141",2018,"Non-Injury Crash","Canterbury Region","13","Christchurch City","060",964
"142",2018,"Non-Injury Crash","Canterbury Region","13","Hurunui District","058",74
"143",2018,"Non-Injury Crash","Canterbury Region","13","Kaikoura District","054",35
"144",2018,"Non-Injury Crash","Canterbury Region","13","Mackenzie District","065",41
"145",2018,"Non-Injury Crash","Canterbury Region","13","Selwyn District","062",107
"146",2018,"Non-Injury Crash","Canterbury Region","13","Timaru District","064",183
"147",2018,"Non-Injury Crash","Canterbury Region","13","Waimakariri District","059",88
"148",2018,"Non-Injury Crash","Canterbury Region","13","Waimate District","066",32
"149",2018,"Non-Injury Crash","Canterbury Region","13","Waitaki District","068",16
"150",2018,"Non-Injury Crash","Gisborne Region","05","Gisborne District","028",292
"151",2018,"Non-Injury Crash","Hawke's Bay Region","06","Central Hawke's Bay District","032",56
"152",2018,"Non-Injury Crash","Hawke's Bay Region","06","Hastings District","030",437
"153",2018,"Non-Injury Crash","Hawke's Bay Region","06","Napier City","031",301
"154",2018,"Non-Injury Crash","Hawke's Bay Region","06","Taupo District","021",6
"155",2018,"Non-Injury Crash","Hawke's Bay Region","06","Wairoa District","029",50
"156",2018,"Non-Injury Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",171
"157",2018,"Non-Injury Crash","Manawatū-Whanganui Region","08","Manawatu District","039",132
"158",2018,"Non-Injury Crash","Manawatū-Whanganui Region","08","Palmerston North City","040",383
"159",2018,"Non-Injury Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",117
"160",2018,"Non-Injury Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",108
"161",2018,"Non-Injury Crash","Manawatū-Whanganui Region","08","Tararua District","041",134
"162",2018,"Non-Injury Crash","Manawatū-Whanganui Region","08","Waitomo District","020",3
"163",2018,"Non-Injury Crash","Manawatū-Whanganui Region","08","Whanganui District","037",193
"164",2018,"Non-Injury Crash","Marlborough Region","18","Marlborough District","053",232
"165",2018,"Non-Injury Crash","Nelson Region","17","Nelson City","052",180
"166",2018,"Non-Injury Crash","Northland Region","01","Far North District","001",348
"167",2018,"Non-Injury Crash","Northland Region","01","Kaipara District","003",95
"168",2018,"Non-Injury Crash","Northland Region","01","Whangarei District","002",459
"169",2018,"Non-Injury Crash","Otago Region","14","Central Otago District","069",78
"170",2018,"Non-Injury Crash","Otago Region","14","Clutha District","072",103
"171",2018,"Non-Injury Crash","Otago Region","14","Dunedin City","071",586
"172",2018,"Non-Injury Crash","Otago Region","14","Queenstown-Lakes District","070",128
"173",2018,"Non-Injury Crash","Otago Region","14","Waitaki District","068",118
"174",2018,"Non-Injury Crash","Southland Region","15","Gore District","074",77
"175",2018,"Non-Injury Crash","Southland Region","15","Invercargill City","075",264
"176",2018,"Non-Injury Crash","Southland Region","15","Southland District","073",164
"177",2018,"Non-Injury Crash","Taranaki Region","07","New Plymouth District","033",323
"178",2018,"Non-Injury Crash","Taranaki Region","07","South Taranaki District","035",113
"179",2018,"Non-Injury Crash","Taranaki Region","07","Stratford District","034",43
"180",2018,"Non-Injury Crash","Tasman Region","16","Tasman District","051",175
"181",2018,"Non-Injury Crash","Waikato Region","03","Hamilton City","016",836
"182",2018,"Non-Injury Crash","Waikato Region","03","Hauraki District","012",150
"183",2018,"Non-Injury Crash","Waikato Region","03","Matamata-Piako District","015",240
"184",2018,"Non-Injury Crash","Waikato Region","03","Rotorua District","024",41
"185",2018,"Non-Injury Crash","Waikato Region","03","South Waikato District","019",193
"186",2018,"Non-Injury Crash","Waikato Region","03","Taupo District","021",222
"187",2018,"Non-Injury Crash","Waikato Region","03","Thames-Coromandel District","011",136
"188",2018,"Non-Injury Crash","Waikato Region","03","Waikato District","013",415
"189",2018,"Non-Injury Crash","Waikato Region","03","Waipa District","017",187
"190",2018,"Non-Injury Crash","Waikato Region","03","Waitomo District","020",105
"191",2018,"Non-Injury Crash","Waikato Region","03","Ōtorohanga District","018",64
"192",2018,"Non-Injury Crash","Wellington Region","09","Carterton District","049",36
"193",2018,"Non-Injury Crash","Wellington Region","09","Kapiti Coast District","043",122
"194",2018,"Non-Injury Crash","Wellington Region","09","Lower Hutt City","046",579
"195",2018,"Non-Injury Crash","Wellington Region","09","Masterton District","048",96
"196",2018,"Non-Injury Crash","Wellington Region","09","Porirua City","044",277
"197",2018,"Non-Injury Crash","Wellington Region","09","South Wairarapa District","050",28
"198",2018,"Non-Injury Crash","Wellington Region","09","Upper Hutt City","045",163
"199",2018,"Non-Injury Crash","Wellington Region","09","Wellington City","047",832
"200",2018,"Non-Injury Crash","West Coast Region","12","Buller District","055",66
"201",2018,"Non-Injury Crash","West Coast Region","12","Grey District","056",69
"202",2018,"Non-Injury Crash","West Coast Region","12","Westland District","057",44
"203",2018,"Serious Crash","Area Outside Region","99","Chatham Islands Territory","067",2
"204",2018,"Serious Crash","Auckland Region","02","Auckland","076",338
"205",2018,"Serious Crash","Bay of Plenty Region","04","Kawerau District","026",1
"206",2018,"Serious Crash","Bay of Plenty Region","04","Rotorua District","024",18
"207",2018,"Serious Crash","Bay of Plenty Region","04","Tauranga City","023",15
"208",2018,"Serious Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",24
